道路區塊,鄉鎮,路名1,路名2,起點路口,迄點路口,道路區塊總面積,路長,路寬,道路轄管,道路類型,投影面積,交通量,投影比例,申請路政,挖掘面積,平均溫度,強降雨,搶修案件,液化潛勢,管線衝突點,淺埋位置回報,埋深,埋深=0,埋深>0,埋深>0.3m且埋深<1.2m,PCI分數
WG000495,五股區,民義路一段, ,民義路一段,中興路四段,12218,1197.7,10.2,市,路段,17.60323992,中,0.14%,10,132.29,10,102,,3,202,,高,7,2,16,84.7626
WG000497,五股區,中興路四段, ,成泰路二段,新五路二段,3788.24,266.7,14.2,市,路段,4.564109357,中,0.12%,1,31.2,10,102,,2,94,,低,5,NULL,2,83.40948
WG000499,五股區,中興路三段, ,新五路二段,五號越堤道,21256.05,929.3,22.9,市,路段,112.003079,高,0.53%,0,NULL,10,102,,2,3,,低,13,NULL,NULL,87.042
WG000500,五股區,五號越堤道, ,五號越堤道,五號越堤道,169.38,29.7,5.7,市,路段,,低,0.00%,0,NULL,10,102,,3,NULL,,低,NULL,NULL,NULL,100
WG000501,五股區,五號越堤道, ,五號越堤道,五號越堤道,71.42,12.2,5.9,市,路段,,低,0.00%,0,NULL,10,102,,3,NULL,,低,NULL,NULL,NULL,100
WG000502,五股區,五號越堤道, ,中興路三段,疏洪六路,4020.98,356,11.3,市,路段,,中,0.00%,0,NULL,10,102,,3,NULL,,低,NULL,NULL,NULL,100
WG000503,五股區,五號越堤道, ,中興路三段,五號越堤道,4307.55,372.3,11.6,市,路段,,中,0.00%,0,NULL,10,102,,3,NULL,,低,NULL,NULL,NULL,100
WG000504,五股區,新五路二段, ,成泰路三段,中興路三段,38726.12,997.8,38.8,市,路段,,高,0.00%,20,408.25,10,102,,2,127,,中,NULL,NULL,9,95.14271
WG000505,五股區,新五路二段, ,成泰路三段,新五路二段,296.14,27.6,10.7,市,路段,,中,0.00%,0,NULL,10,102,,3,4,,低,NULL,NULL,NULL,100
WG000506,五股區,新五路二段, ,成泰路三段,新五路二段,221.5,20.5,10.8,市,路段,,中,0.00%,0,NULL,10,102,,3,NULL,,低,NULL,NULL,3,100
WG000508,五股區,新五路二段, ,中興路三段,新五路一段,64871.21,1909.1,34,市,路段,256.1360646,高,0.39%,5,143.92,10,6,,2,145,,中,38,NULL,6,74.12515
WG000509,五股區,八里-新店快速公路, ,八里-新店快速公路,八里-新店快速公路,21532.77,674.4,31.9,市,路段,,高,0.00%,0,NULL,10,102,,2,NULL,,低,NULL,NULL,1,79.71398
WG000510,五股區,五股二交流道, ,五股二交流道,八里-新店快速公路,699.24,61,11.5,市,路段,,中,0.00%,0,NULL,10,102,,3,NULL,,低,NULL,NULL,NULL,100
WG000511,五股區,八里-新店快速公路, ,八里-新店快速公路,八里-新店快速公路,2101.59,167.1,12.6,市,路段,,中,0.00%,0,NULL,10,102,,2,NULL,,低,NULL,NULL,NULL,100
WG000519,五股區,中興路一段, ,四維路,中正北路,3313.9,225.4,14.7,市,路段,,中,0.00%,1,6,10,102,,2,11,,高,NULL,NULL,11,49.22518
WG000535,五股區,中山二路, ,中山二路,四維路,182.5,8.4,21.7,市區,路段,31.6759414,高,17.36%,0,NULL,10,102,,2,NULL,,低,5,NULL,1,100
WG000625,五股區,明志路一段, ,成泰路一段,明志路一段,190.55,11.6,16.4,市,路段,51.82461305,高,27.20%,0,NULL,10,6,,3,8,,低,15,NULL,NULL,100
WG000629,五股區,新五路一段, ,新五路二段,新五路一段,2231.38,52.3,42.7,市,路段,89.60377358,高,4.02%,0,NULL,10,6,,3,7,,低,12,NULL,NULL,83.70641
WG000643,五股區,粉寮路二段, ,五林路,粉寮路二段,211.66,29.2,7.2,市,路段,,低,0.00%,0,NULL,10,5,,NULL,NULL,,低,NULL,NULL,NULL,55.29751
WG000647,五股區,民義路二段, ,民義路二段,五林路,18406.93,2367.4,7.4,區,路段,60.81249229,低,0.33%,0,NULL,10,5,,NULL,2,,低,7,NULL,NULL,58.66179
